Supplier(7),VendorStockCode(30),VendorDescription(30),UnitOfMeasure(3),ListPrice,POPrice,DiscountCode,MinimumPOQuantity,ProductClass(4),,,
WEIN001,IR-DI16-K,WEINTEK HMI DIG I/O 16IN ,EA,$119,,WE3,,WE03,,,
WEIN001,IR-DQ16-P,WEINTEK HMI DIG I/O 16OUT SOUR,EA,$119,,WE3,,WE03,,,
WEIN001,IR-DQ16-N,WEINTEK HMI DIG I/O 16OUT SINK,EA,$119,,WE3,,WE03,,,
WEIN001,IR-DQ08-R,WEINTEK HMI DIG I/O 8OUT RELAY,EA,$119,,WE3,,WE03,,,
WEIN001,IR-AI04-VI,WEINTEK HMI ANALOG I/O 4IN OUT,EA,$169,,WE3,,WE03,,,
WEIN001,IR-AQ04-VI,WEINTEK HMI ANALOG I/O IN 4OUT,EA,$169,,WE3,,WE03,,,
WEIN001,IR-AM06-VI,WEINTEK HMI ANALOG I/O 4IN 2OU,EA,$189,,WE3,,WE03,,,
WEIN001,IR-AI04-TR,WEINTEK HMI TEMP I/O 4IN OUT ,EA,$179,,WE3,,WE03,,,
WEIN001,IR-PU01-P,WEINTEK HMI I/O MOTION ,EA,$299,,WE3,,WE03,,,
WEIN001,MT8090XE,"WEINTEK HMI 9.7"" 1024X768 N4 1",EA,$745,,WE3,,WE03,,,
WEIN001,MT8092XE,"WEINTEK HMI 9.7"" 1024X768 N4 1",EA,$795,,WE3,,WE03,,,
WEIN001,MT8121XE1,"WEINTEK HMI 12.1"" 1024X768 N4 ",EA,"$1,485",,WE3,,WE03,,,
WEIN001,MT8121XE3,"WEINTEK HMI 12.1"" 1024X768 N4 ",EA,"$1,085",,WE3,,WE03,,,
WEIN001,MT8150XE,"WEINTEK HMI 15"" 1024X768 N4 1G",EA,"$1,809",,WE3,,WE03,,,
WEIN001,MT8050IE,"WEINTEK HMI 4.3"" 480X272 N4 60",EA,$339,,WE3,,WE03,,,
WEIN001,MT8051IE,"WEINTEK HMI 4.3"" 480X272 N4 60",EA,$339,,WE3,,WE03,,,
WEIN001,MT8053IE,"WEINTEK HMI 4.3"" 480X272 N4 60",EA,$409,,WE3,,WE03,,,
WEIN001,MT8071IE,"WEINTEK HMI 7"" 800X480 N4 600M",EA,$435,,WE3,,WE03,,,
WEIN001,MT8070IE,"WEINTEK HMI 7"" 800X480 N4 600M",EA,$635,,WE3,,WE03,,,
WEIN001,MT8070IER,"WEINTEK HMI 7"" 800X480 N4 600M",EA,$635,,WE3,,WE03,,,
WEIN001,MT8100IE,"WEINTEK HMI 10.1"" 800X480 N4 6",EA,"$1,045",,WE3,,WE03,,,
WEIN001,MT8102IEU,"WEINTEK HMI 10.1"" 1024X600 N4 ",EA,$685,,WE3,,WE03,,,
WEIN001,EMT3070B,"WEINTEK HMI 7"" 800X480 N4 1GHZ",EA,$845,,WE3,,WE03,,,
WEIN001,MT8051IP,"WEINTEK HMI 4.3"" 480X272 N4 60",EA,$269,,WE3,,WE03,,,
WEIN001,MT8071IP,"WEINTEK HMI 7"" 800X480 N4 600M",EA,$329,,WE3,,WE03,,,
WEIN001,MT8071IP2,"WEINTEK HMI 7"" 800X480 N4 528M",EA,$329,,WE3,,WE03,,,
WEIN001,MT8102IP,"WEINTEK HMI 10.1"" 1024X600 N4 ",EA,$589,,WE3,,WE03,,,
WEIN001,M02-WIFI-MODULE,WEINTEK COMPATIBLE WITH CMT310,EA,$89,,WE3,,WE03,,,
