Supplier(7),VendorStockCode(30),VendorDescription(30),UnitOfMeasure(3),ListPrice,POPrice,DiscountCode,MinimumPOQuantity,ProductClass(4)
WEIN001,RZ0CDS000,WEINTEK CODESYS ACTIVATION - F,EA,$99 ,,WE3,,WE03
WEIN001,RZOPCA00,WEINTEK OPC UA SERVER ACTIVATI,EA,$199 ,,WE3,,WE03
WEIN001,RP0040300,WEINTEK ANTI-SCRATCH FLM F/4.3,EA,$65 ,,WE3,,WE03
WEIN001,RP0030700,"WEINTEK ANTI-SCRATCH FLM F/7"" ",EA,$65 ,,WE3,,WE03
WEIN001,RP0080900,WEINTEK ANTI-SCRATCH FLM F/9.7,EA,$90 ,,WE3,,WE03
WEIN001,RP0081001,WEINTEK ANTI-SCRATCH FLM F/10.,EA,$90 ,,WE3,,WE03
WEIN001,RP0081210,WEINTEK ANTI-SCRATCH FLM F/12.,EA,$90 ,,WE3,,WE03
WEIN001,RP0081500,"WEINTEK ANTI-SCRATCH FLM F/15""",EA,$120 ,,WE3,,WE03
WEIN001,GV8070Y20,WEINTEK OVERLAY FOR MT8070/807,EA,$19.50 ,,WE3,,WE03
WEIN001,GV810EY10,WEINTEK OVERLAY FOR MT8100IE,EA,$19.50 ,,WE3,,WE03
WEIN001,GV3120Y00,WEINTEK OVERLAY FOR MT8121XE/E,EA,$29.50 ,,WE3,,WE03
WEIN001,GV8090Y00,WEINTEK OVERLAY FOR MT8090XE,EA,$29.50 ,,WE3,,WE03
WEIN001,GV3150Y00,WEINTEK OVERLAY FOR CMT3151,EA,$29.50 ,,WE3,,WE03
WEIN001,RFZ060700,WEINTEK MNTG PLT ADAPTER/BEZEL,EA,$79.50 ,,WE3,,WE03
WEIN001,RFZ100200,WEINTEK MNTG PLT ADAPTER/BEZEL,EA,$89.50 ,,WE3,,WE03
WEIN001,HMI-PWR,WEINTEK HMI GREEN PWR CONN W/O,EA,$27.99 ,,WE3,,WE03
WEIN001,HMI-PWR-S,WEINTEK HMI GREEN PWR CONN WIT,EA,$32.99 ,,WE3,,WE03
WEIN001,HMI-MNT,WEINTEK HMI MOUNTING HRDWR FOR,EA,$18.99 ,,WE3,,WE03
WEIN001,HMI-MNT-L,WEINTEK HMI MOUNTING HRDWR FOR,EA,$18.99 ,,WE3,,WE03
